year, Billions of US $, Per Capita, Annual % Change
1969-12-31,18.212175743584,10988.3621,0
1970-12-31,20.362780787728,11642.4778,7.2737
1971-12-31,23.210535087719,11867.8331,3.155
1972-12-31,28.048932298819,12053.776,2.599
1973-12-31,36.753070313732,12506.1631,4.615
1974-12-31,43.004756947291,12805.0555,3.1955
1975-12-31,51.563957825026,13072.9343,3.0061
1976-12-31,56.660584264044,13687.1319,5.5233
1977-12-31,67.298739337344,14167.0623,4.1237
1978-12-31,83.106740680383,14729.1562,4.6093
1979-12-31,95.1451763155,14814.4938,1.2761
1980-12-31,102.47709598759,14685.5264,-0.083
1981-12-31,84.154028967588,14237.1711,-2.3857
1982-12-31,81.3656152513,13967.1266,-1.4459
1983-12-31,79.211216894448,14089.4541,1.2591
1984-12-31,72.821483516484,14118.5465,0.605
1985-12-31,73.327261146497,14248.1308,1.3895
1986-12-31,101.59684655514,14504.7872,2.3679
1987-12-31,124.85756853786,14712.2944,2.0763
1988-12-31,131.024574646,14844.3074,1.5513
1989-12-31,128.11560116388,15221.139,3.1555
1990-12-31,157.38021541813,15727.3208,4.0395
1991-12-31,163.07218293258,16026.4085,2.7079
1992-12-31,180.0176679198,16019.5089,0.7155
1993-12-31,175.58079852871,16037.2612,0.811
1994-12-31,187.33756144812,16251.8727,1.9511
1995-12-31,222.63381828164,16602.701,2.6645
1996-12-31,225.33594771242,17340.4071,4.9263
1997-12-31,207.51750621188,17971.8239,4.1762
1998-12-31,219.4423461453,18864.5711,5.6168
1999-12-31,227.01677805637,19855.6996,5.9567
2000-12-31,210.11816045177,20436.4717,3.6633
2001-12-31,214.63224250236,20697.5467,2.0449
2002-12-31,237.06762543882,20805.2041,1.1638
2003-12-31,289.81912871608,20680.2653,-0.1304
2004-12-31,325.44589479961,20765.1378,0.7599
2005-12-31,334.50974834553,20905.2067,0.9101
2006-12-31,346.40590382471,20839.1323,-0.1558
2007-12-31,393.07777025177,21183.6675,1.8747
2008-12-31,434.50970039922,21289.187,0.8901
2009-12-31,398.25501448281,20780.6604,-1.8854
2010-12-31,385.13262311667,20696.0664,0.1051
2011-12-31,413.15876621595,20614.0824,0.0695
2012-12-31,381.79679525508,20303.5816,-1.1411
2013-12-31,399.02111182,20048.6392,-0.9641
2014-12-31,404.18839262274,20051.497,0.3748
2015-12-31,344.8543586125,20357.4927,1.977
2016-12-31,349.82676668521,20476.1617,1.1196
2017-12-31,369.70059149294,20789.2487,2.1311
2018-12-31,403.36682236863,21115.5348,2.1643
2019-12-31,395.78685451765,21162.6537,0.8818
2020-12-31,383.19537259144,19706.7212,-6.361
2021-12-31,426.86280531007,20454.5017,4.3393
2022-12-31,432.87986282296,21588.1381,6.5532
