year, Unemployment Rate (%), Annual Change
1991,7.28,7.28
1992,5.56,-1.72
1993,6.29,0.73
1994,7.16,0.87
1995,7.16,0
1996,6.42,-0.74
1997,5.51,-0.91
1998,4.39,-1.12
1999,3.62,-0.77
2000,2.73,-0.89
2001,2.12,-0.61
2002,2.55,0.43
2003,3.59,1.04
2004,4.65,1.06
2005,5.87,1.22
2006,5,-0.87
2007,4.15,-0.85
2008,3.65,-0.5
2009,4.35,0.7
2010,4.99,0.64
2011,4.98,-0.01
2012,5.82,0.84
2013,7.24,1.42
2014,7.42,0.18
2015,6.87,-0.55
2016,6.01,-0.86
2017,4.84,-1.17
2018,3.83,-1.01
2019,3.38,-0.45
2020,3.82,0.44
2021,4.21,0.39
2022,3.52,-0.69
